Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,power,temp_diff,wear_rate,torque_per_wear,strain_index,power_per_temp,torque_x_temp,rpm_x_torque_x_wear,power_x_wear,temp_diff_x_wear,rpm_x_temp_diff,torque_type_zscore,rpm_type_zscore,wear_type_zscore,power_type_zscore,temp_diff_type_zscore,type_x_power,type_x_wear,type_x_temp_diff
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,66382.79999999999,10.5,0.0,42.8,0.0,215.10952689565775,13208.08,0.0,0.0,0.0,16285.5,0.2784934541285915,0.07484128538228124,-1.7015286249033068,0.631385298590409,0.515677617445689,66382.79999999999,0,10.5
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,65190.399999999994,10.5,0.0021291696238466998,11.575,138.89999999999998,211.17719468739875,14292.81,195571.19999999998,195571.19999999998,31.5,14784.0,0.6295633472920505,-0.7286495913267852,-1.6450472956154663,0.5065698622829403,0.5015401152051795,0.0,0,0.0
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,74001.2,10.399999999999977,0.00333555703802535,8.233333333333333,247.0,239.8742301458671,15239.9,370006.0,370006.0,51.999999999999886,15579.199999999966,0.9391813909836073,-0.22983709496646781,-1.6138257069229465,1.3657976068981081,0.4019359615168517,0.0,0,0.0
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,56603.5,10.400000000000034,0.0048814504881450485,4.9375,276.5,183.42028515878158,12189.7,396224.5,396224.5,72.80000000000024,14903.200000000048,-0.0495988130636217,-0.5900905645600303,-1.5826041182304267,-0.3308231917230497,0.4019359615169083,0.0,0,0.0
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,56320.0,10.5,0.0063875088715401,4.0,360.0,182.44250080984776,12348.0,506880.0,506880.0,94.5,14784.0,0.00033958108017775456,-0.7286495913267852,-1.5513825295379067,-0.3584700643791536,0.5015401152051795,0.0,0,0.0
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,59707.5,10.5,0.007713884992987377,3.4916666666666667,460.9,193.47861309138042,12930.34,656782.5,656782.5,115.5,14962.5,0.18842278255926212,-0.6288341339994334,-1.5270491021200994,-0.024960148332394783,0.515677617445689,59707.5,11,10.5
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,66059.2,10.5,0.008980115458627326,2.8266666666666667,593.6,214.06092028515874,13084.640000000001,924828.7999999999,924828.7999999999,147.0,16359.0,0.240043872970415,0.10270456927374376,-1.473328557806607,0.5912950931951912,0.5015401152051795,0.0,0,0.0
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,61385.4,10.5,0.010471204188481676,2.364705882352941,643.2,198.91574854180166,12405.720000000001,982166.4,982166.4,168.0,16033.5,0.02031493873769782,-0.06910862391703222,-1.4421069691140873,0.13550689770983615,0.5015401152051795,0.0,0,0.0
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,47676.200000000004,10.399999999999977,0.01079136690647482,1.5052631578947369,514.8000000000001,154.44185293164887,8828.82,858171.6000000001,858171.6000000001,187.1999999999996,17336.799999999963,-1.142621586187496,0.7226694492575106,-1.4160166785307855,-1.2079315467058522,0.4146588698487817,47676.200000000004,18,10.399999999999977
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,48748.0,10.5,0.012055109070034443,1.2727272727272727,588.0,157.76051779935275,8652.0,1023708.0,1023708.0,220.5,18280.5,-1.202668700567049,1.1359391400055017,-1.3684313541353652,-1.1025473617236254,0.515677617445689,48748.0,21,10.5
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,42589.799999999996,10.5,0.01346045989904655,0.956,573.5999999999999,137.87568792489478,7382.709999999999,1022155.2,1022155.2,252.0,18711.0,-1.6529478555261579,1.4084653927056447,-1.3224406169797664,-1.740096561694965,0.43431167929039066,85179.59999999999,48,21.0
